time (seconds),x,y,z
4.816,0,0,-1023
4.915,0,0,-1023
5.016,-1023,197,197
5.115,-866,218,-500
5.215,74,-130,-1013
5.316,207,-100,-997
5.415,-658,873,385
5.515,-580,675,-505
5.616,245,58,-992
5.716,70,495,-893
5.817,-455,183,-898
5.916,288,-1023,288
6.016,367,-303,-906
6.117,-615,927,437
6.217,-312,-460,-859
6.317,414,-286,-891
6.417,-74,617,-813
6.517,145,-321,-961
6.618,855,-453,-333
6.718,315,257,-939
6.818,296,-272,-941
6.918,656,243,-747
7.018,-196,662,-755
7.118,-106,-322,-966
7.218,334,337,-907
7.318,-982,1002,960
7.418,-168,-326,-956
7.518,-213,1023,213
7.618,-768,701,186
7.719,149,50,-1011
7.818,-265,859,-489
7.918,-505,31,-890
8.018,-26,-122,-1016
8.118,-385,322,-892
8.218,-463,-439,-800
8.318,93,-316,-969
8.418,-569,449,-722
8.518,-1023,20,20
8.618,-736,-9,-711
8.718,-948,239,-302
8.818,-1023,-1,1
8.919,-1023,-115,115
9.019,-1023,-125,125
9.12,-1023,-125,125
